Name,YT Scope Project,
File,C:\Users\sakat\OneDrive\ドキュメント\pylib_sakata\experiment\data\time_resp_2mass_20230720.csv,
Starttime of export,133343080267770000,Thursday, July 20, 2023,15:27:06.777
Endtime of export,133343080377820000,Thursday, July 20, 2023,15:27:17.782


Name,RefPosUm[0],ActPosUm[0],ErrPosUm[0],ServoOutN[0],NoiseOut[0],FlagInject
23,0.46783577030273538,0.06103515625,0.40680061405273538,0.0022684636511954275,0,0
23.125,0.47548636000000105,0.06866455078125,0.40682180921875105,0.002236807766079782,0,0
23.25,0.48321923217773544,0.064849853515625,0.41836937866211044,0.0023252922765471086,0,0
23.375,0.491034812343751,0.072479248046875,0.418555564296876,0.0022948497501056844,0,0
23.5,0.49893352577148548,0.072479248046875,0.42645427772461048,0.002345458193677923,0,0
23.625,0.506915797500001,0.072479248046875,0.43443654945312604,0.0023958346845455118,0,0
23.75,0.51498205233398553,0.080108642578125,0.43487340975586053,0.0023678759716844709,0,0
23.875,0.52313271484375112,0.0762939453125,0.44683876953125112,0.0024599733498916342,0,0
24,0.53136820936523554,0.087738037109375,0.44363017225586054,0.0023939945014712113,0,0
24.125,0.53968896000000122,0.080108642578125,0.45958031742187622,0.0025277055324970195,0,0
24.25,0.54809539061523549,0.080108642578125,0.46798674803711049,0.0025798857733888448,0,0
24.375,0.55658792484375119,0.08392333984375,0.47266458500000119,0.0025928232330539925,0,0
24.5,0.56516698608398563,0.08392333984375,0.48124364624023563,0.002646195611465371,0,0
24.625,0.57383299750000116,0.087738037109375,0.48609496039062616,0.0026603095760232014,0,0
24.75,0.5825863820214856,0.091552734375,0.4910336476464856,0.0026757738913661903,0,0
24.875,0.59142756234375127,0.09918212890625,0.49224543343750127,0.0026534693215782036,0,0
25,0.60035696092773572,0.09918212890625,0.50117483202148572,0.0027120625738054076,0,0
25.125,0.60937500000000144,0.102996826171875,0.50637817382812644,0.0027312105094557618,0,0
25.25,0.61848210155273586,0.11444091796875,0.50404118358398586,0.0026733922376445474,0,0
25.375,0.62767868734375143,0.11444091796875,0.51323776937500143,0.0027369247173165603,0,0
25.5,0.63696517889648585,0.118255615234375,0.51870956366211085,0.0027608153859417909,0,0
25.625,0.64634199750000143,0.11444091796875,0.53190107953125143,0.0028638343882036715,0,0
25.75,0.65580956420898573,0.125885009765625,0.52992455444336073,0.0028085264035621138,0,0
25.875,0.66536829984375134,0.12969970703125,0.53566859281250134,0.0028354626828324334,0,0
26,0.67501862499023579,0.12969970703125,0.54531891795898579,0.0029023663347496394,0,0
26.125,0.68476096000000153,0.133514404296875,0.55124655570312653,0.0029295704893712755,0,0
26.25,0.69459572499023592,0.1373291015625,0.55726662342773592,0.00295770898274787,0,0
26.375,0.70452333984375148,0.14495849609375,0.55956484375000148,0.0029476863325195086,0,0
26.5,0.714544224208986,0.1373291015625,0.577215122646486,0.0030963318609149039,0,0
26.625,0.72465879750000173,0.148773193359375,0.57588560414062673,0.003045897461638226,0,0
26.75,0.73486747889648607,0.152587890625,0.58227958827148607,0.00307762115455396,0,0
26.875,0.74517068734375169,0.16021728515625,0.58495340218750169,0.0030710915567354431,0,0
27,0.75556884155273618,0.164031982421875,0.59153685913086118,0.0031059333033908259,0,0
27.125,0.76606236000000172,0.171661376953125,0.59440098304687672,0.00310240280439118,0,0
27.25,0.77665166092773608,0.1678466796875,0.60880498124023608,0.0032182713907814818,0,0
27.375,0.78733716234375184,0.179290771484375,0.60804639085937684,0.0031754454762541258,0,0
27.5,0.7981192820214863,0.179290771484375,0.6188285105371113,0.00325358775586292,0,0
27.625,0.808998437500002,0.186920166015625,0.622078271484377,0.0032526584042527843,0,0
27.75,0.8199750460839863,0.19073486328125,0.6292401828027363,0.0032929521429637116,0,0
27.875,0.83104952484375183,0.1983642578125,0.63268526703125183,0.0032947341419479886,0,0
28,0.84222229061523624,0.202178955078125,0.64004333553711124,0.0033376439226939928,0,0
28.125,0.853493760000002,0.213623046875,0.639870713125002,0.0033028819442529091,0,0
28.25,0.86486434936523637,0.217437744140625,0.64742660522461137,0.0033497358812961332,0,0
28.375,0.876334474843752,0.22125244140625,0.655082033437502,0.0033968948904866333,0,0
28.5,0.88790455233398635,0.225067138671875,0.66283741366211135,0.003444369397933245,0,0
28.625,0.899574997500002,0.232696533203125,0.666878464296877,0.0034530993846534851,0,0
28.75,0.91134622577148638,0.23651123046875,0.67483499530273638,0.00350273760769518,0,0
28.875,0.923218652343752,0.247955322265625,0.675263330078127,0.0034744970657886523,0,0
29,0.93519269217773648,0.25177001953125,0.68342267264648648,0.00352767731411264,0,0
29.125,0.94726876000000215,0.263214111328125,0.68405464867187715,0.0035028386555740719,0,0
29.25,0.95944727030273669,0.26702880859375,0.69241846170898669,0.0035592883615001053,0,0
29.375,0.97172863734375214,0.278472900390625,0.69325573695312714,0.0035375940446707374,0,0
29.5,0.98411327514648672,0.278472900390625,0.70564037475586172,0.0036361399563745438,0,0
29.625,0.99660159750000221,0.286102294921875,0.71049930257812721,0.003654927234524341,0,0
29.75,1.0091940179589867,0.29754638671875,0.71164763124023667,0.0036361492993470406,0,0
29.875,1.0218909498437523,0.301361083984375,0.72052986585937728,0.0036984643237972705,0,0
30,1.0346928062402365,0.31280517578125,0.72188763045898652,0.0036824510456374172,0,0
30.125,1.0476000000000023,0.32806396484375,0.71953603515625231,0.0036302240364683965,0,0
30.25,1.0606129437402367,0.331878662109375,0.72873428163086174,0.0036994368362336656,0,0
30.375,1.0737320498437524,0.339508056640625,0.73422399320312737,0.003729094455522533,0,0
30.5,1.086957730458987,0.3509521484375,0.736005582021487,0.0037207545906022543,0,0
30.625,1.1002903975000027,0.354766845703125,0.74552355179687768,0.0037930992086597942,0,0
30.75,1.113730462646487,0.370025634765625,0.743704827880862,0.0037476595338517644,0,0
30.875,1.1272783373437525,0.37384033203125,0.75343800531250249,0.003823424747374115,0,0
31,1.1409344328027369,0.38909912109375,0.75183531170898688,0.0037812729749782327,0,0
31.125,1.1546991600000025,0.396728515625,0.7579706443750025,0.0038211306777251792,0,0
31.25,1.1685729296777367,0.40435791015625,0.76421501952148674,0.0038616661301483133,0,0
31.375,1.1825561523437527,0.415802001953125,0.76675415039062766,0.0038637999317974233,0,0
31.5,1.1966492382714868,0.431060791015625,0.76558844725586184,0.0038290263793316036,0,0
31.625,1.2108525975000026,0.4425048828125,0.76834771468750263,0.0038368973330124732,0,0
31.75,1.2251666398339869,0.453948974609375,0.77121766522461188,0.0038466703361681853,0,0
31.875,1.2395917748437524,0.457763671875,0.78182810296875238,0.0039364083582623536,0,0
32,1.2541284118652369,0.476837158203125,0.77729125366211194,0.0038686122081490679,0,0
32.125,1.2687769600000027,0.48828125,0.78049571000000273,0.0038838115997968884,0,0
32.25,1.283537828115237,0.5035400390625,0.779997789052737,0.0038615502058641561,0,0
32.375,1.2984114248437526,0.51116943359375,0.7872419912500026,0.0039204801597036093,0,0
32.5,1.3133981585839871,0.518798828125,0.79459933045898712,0.0039793145956386437,0,0
32.625,1.3284984375000026,0.52642822265625,0.80207021484375263,0.0040380866652713378,0,0
32.75,1.3437126695214872,0.54168701171875,0.80202565780273716,0.00401868783406151,0,0
32.875,1.3590412623437529,0.560760498046875,0.79828076429687789,0.0039632242003666846,0,0
33,1.374484623427737,0.568389892578125,0.806094730849612,0.00402934128632206,0,0
33.125,1.3900431600000029,0.583648681640625,0.80639447835937794,0.0040169664611810572,0,0
33.25,1.405717279052737,0.598907470703125,0.806809808349612,0.0040072933337341717,0,0
33.375,1.4215073873437529,0.614166259765625,0.80734112757812793,0.0040002007617755235,0,0
33.5,1.4374138913964873,0.629425048828125,0.80798884256836234,0.0039955741686087,0,0
